id,chat_id,user_id,selected_path,decision_mode,prompt_version,art_affinity_score,created_at,user_msg_count,avg_user_msg_len,art_kw_count,confusion_kw_count,first_user_ts,last_user_ts,assistant_msg_count,avg_output_tokens,conversation_span_minutes,followup_depth_proxy,art_keyword_ratio,confusion_ratio,activate_art_path
label_chat_00001,chat_00001,user_0001,default,manual,default_v3,0.268,1768415028000,3,43.0,1,0,1768414740000,1768415017000,3,206.66666666666666,4.616666666666666,2,0.3333333333333333,0.0,0
label_chat_00002,chat_00002,user_0001,default,manual,default_v3,0.432,1768613939000,4,40.5,2,0,1768613340000,1768613923000,4,162.75,9.716666666666667,3,0.5,0.0,0
label_chat_00003,chat_00003,user_0001,default,manual,default_v3,0.411,1768971064000,4,43.25,1,0,1768970640000,1768971047000,4,172.75,6.783333333333333,3,0.25,0.0,0
label_chat_00004,chat_00004,user_0001,default,manual,default_v3,0.3,1769232522000,3,43.333333333333336,1,0,1769232300000,1769232507000,3,176.33333333333334,3.45,2,0.3333333333333333,0.0,0
label_chat_00005,chat_00005,user_0001,default,manual,default_v3,0.422,1769333042000,4,39.75,2,0,1769332320000,1769333032000,4,142.5,11.866666666666667,3,0.5,0.0,0
label_chat_00006,chat_00006,user_0002,default,manual,default_v3,0.346,1773703207000,5,38.0,1,0,1773702600000,1773703193000,5,190.2,9.883333333333333,4,0.2,0.0,0
label_chat_00007,chat_00007,user_0002,default,manual,default_v3,0.238,1773901085000,5,40.4,0,0,1773900300000,1773901067000,5,180.2,12.783333333333333,4,0.0,0.0,0
label_chat_00008,chat_00008,user_0002,default,manual,default_v3,0.25,1774174369000,3,50.0,0,0,1774173960000,1774174352000,3,207.0,6.533333333333333,2,0.0,0.0,0
label_chat_00009,chat_00009,user_0002,default,manual,default_v3,0.218,1774283761000,4,44.75,0,0,1774283040000,1774283749000,4,209.5,11.816666666666666,3,0.0,0.0,0
label_chat_00010,chat_00010,user_0003,default,manual,default_v3,0.282,1773013933000,5,38.0,0,1,1773013260000,1773013918000,5,156.4,10.966666666666667,4,0.0,0.2,0
label_chat_00011,chat_00011,user_0003,art,manual,art_v3,0.682,1773206380000,3,42.333333333333336,3,1,1773205740000,1773206366000,3,111.33333333333333,10.433333333333334,2,1.0,0.3333333333333333,1
label_chat_00012,chat_00012,user_0003,default,manual,default_v3,0.258,1773298249000,3,38.333333333333336,0,0,1773297900000,1773298234000,3,187.66666666666666,5.566666666666666,2,0.0,0.0,0
label_chat_00013,chat_00013,user_0003,art,manual,art_v3,0.753,1773654756000,3,42.0,4,0,1773654240000,1773654744000,3,203.33333333333334,8.4,2,1.3333333333333333,0.0,1
label_chat_00014,chat_00014,user_0003,art,manual,art_v3,0.759,1774010319000,3,41.333333333333336,3,1,1774009920000,1774010309000,3,210.0,6.483333333333333,2,1.0,0.3333333333333333,1
label_chat_00015,chat_00015,user_0004,default,manual,default_v3,0.257,1769727299000,4,38.5,1,0,1769726640000,1769727285000,4,162.25,10.75,3,0.25,0.0,0
label_chat_00016,chat_00016,user_0004,default,manual,default_v3,0.236,1770081641000,3,34.666666666666664,0,0,1770081300000,1770081625000,3,187.0,5.416666666666667,2,0.0,0.0,0
label_chat_00017,chat_00017,user_0004,default,manual,default_v3,0.208,1770193263000,4,32.75,0,0,1770192780000,1770193245000,4,230.0,7.75,3,0.0,0.0,0
label_chat_00018,chat_00018,user_0004,default,manual,default_v3,0.229,1770477479000,4,37.25,0,0,1770476880000,1770477469000,4,169.75,9.816666666666666,3,0.0,0.0,0
label_chat_00019,chat_00019,user_0004,default,manual,default_v3,0.302,1770751602000,3,33.333333333333336,1,0,1770751020000,1770751588000,3,116.66666666666667,9.466666666666667,2,0.3333333333333333,0.0,0
label_chat_00020,chat_00020,user_0005,default,manual,default_v3,0.316,1774549742000,4,35.75,3,0,1774549260000,1774549729000,4,164.25,7.816666666666666,3,0.75,0.0,0
label_chat_00021,chat_00021,user_0005,default,manual,default_v3,0.331,1774747297000,3,37.333333333333336,1,0,1774747020000,1774747286000,3,174.66666666666666,4.433333333333334,2,0.3333333333333333,0.0,0
label_chat_00022,chat_00022,user_0005,default,manual,default_v3,0.359,1774852435000,4,38.25,0,0,1774851660000,1774852422000,4,167.0,12.7,3,0.0,0.0,0
label_chat_00023,chat_00023,user_0005,default,manual,default_v3,0.393,1774949580000,4,42.75,1,0,1774949160000,1774949562000,4,184.25,6.7,3,0.25,0.0,0
label_chat_00024,chat_00024,user_0005,default,manual,default_v3,0.445,1775391533000,4,41.75,2,0,1775390880000,1775391522000,4,224.25,10.7,3,0.5,0.0,0
label_chat_00025,chat_00025,user_0006,default,manual,default_v3,0.233,1773342911000,4,30.75,0,0,1773342540000,1773342894000,4,210.75,5.9,3,0.0,0.0,0
label_chat_00026,chat_00026,user_0006,default,manual,default_v3,0.309,1773779357000,5,29.4,1,0,1773778380000,1773779339000,5,183.0,15.983333333333333,4,0.2,0.0,0
label_chat_00027,chat_00027,user_0006,default,manual,default_v3,0.246,1774143460000,3,29.666666666666668,2,0,1774142940000,1774143449000,3,216.33333333333334,8.483333333333333,2,0.6666666666666666,0.0,0
label_chat_00028,chat_00028,user_0006,default,manual,default_v3,0.223,1774415711000,5,31.2,0,0,1774414980000,1774415696000,5,162.6,11.933333333333334,4,0.0,0.0,0
label_chat_00029,chat_00029,user_0006,default,manual,default_v3,0.236,1774689486000,4,26.0,0,0,1774688940000,1774689472000,4,162.0,8.866666666666667,3,0.0,0.0,0
label_chat_00030,chat_00030,user_0007,art,manual,art_v3,0.807,1771092837000,4,45.5,3,0,1771092060000,1771092823000,4,174.25,12.716666666666667,3,0.75,0.0,1
label_chat_00031,chat_00031,user_0007,art,manual,art_v3,0.688,1771543555000,4,47.5,4,0,1771543080000,1771543542000,4,209.25,7.7,3,1.0,0.0,1
label_chat_00032,chat_00032,user_0007,default,manual,default_v3,0.253,1771645484000,3,43.666666666666664,0,0,1771644960000,1771645468000,3,182.66666666666666,8.466666666666667,2,0.0,0.0,0
label_chat_00033,chat_00033,user_0007,art,manual,art_v3,0.759,1772015406000,5,40.8,6,0,1772014680000,1772015394000,5,198.6,11.9,4,1.2,0.0,1
label_chat_00034,chat_00034,user_0007,art,manual,art_v3,0.761,1772213925000,3,43.333333333333336,3,0,1772213460000,1772213907000,3,201.66666666666666,7.45,2,1.0,0.0,1
label_chat_00035,chat_00035,user_0007,art,manual,art_v3,0.814,1772572517000,5,38.0,9,0,1772571720000,1772572499000,5,174.6,12.983333333333333,4,1.8,0.0,1
label_chat_00036,chat_00036,user_0008,default,manual,default_v3,0.169,1772316615000,5,37.6,0,1,1772316000000,1772316603000,5,186.2,10.05,4,0.0,0.2,0
label_chat_00037,chat_00037,user_0008,default,manual,default_v3,0.25,1772603040000,4,40.75,0,1,1772602680000,1772603024000,4,127.5,5.733333333333333,3,0.0,0.25,0
label_chat_00038,chat_00038,user_0008,default,manual,default_v3,0.26,1772879081000,3,34.333333333333336,0,1,1772878800000,1772879066000,3,176.66666666666666,4.433333333333334,2,0.0,0.3333333333333333,0
label_chat_00039,chat_00039,user_0008,default,manual,default_v3,0.336,1773229043000,5,35.6,1,2,1773228360000,1773229027000,5,149.0,11.116666666666667,4,0.2,0.4,0
label_chat_00040,chat_00040,user_0008,default,manual,default_v3,0.311,1773319499000,4,39.75,0,2,1773318960000,1773319485000,4,181.25,8.75,3,0.0,0.5,0
label_chat_00041,chat_00041,user_0008,default,manual,default_v3,0.225,1773580244000,3,39.0,0,1,1773580020000,1773580228000,3,172.66666666666666,3.466666666666667,2,0.0,0.3333333333333333,0
label_chat_00042,chat_00042,user_0009,art,manual,art_v3,0.719,1772488244000,3,42.333333333333336,4,0,1772487840000,1772488233000,3,140.33333333333334,6.55,2,1.3333333333333333,0.0,1
label_chat_00043,chat_00043,user_0009,default,manual,default_v3,0.254,1772669886000,4,41.25,1,3,1772669340000,1772669869000,4,212.25,8.816666666666666,3,0.25,0.75,0
label_chat_00044,chat_00044,user_0009,default,manual,default_v3,0.2,1772771561000,3,37.666666666666664,1,1,1772771100000,1772771548000,3,208.66666666666666,7.466666666666667,2,0.3333333333333333,0.3333333333333333,0
label_chat_00045,chat_00045,user_0009,art,manual,art_v3,0.82,1772862430000,5,38.6,6,2,1772861820000,1772862416000,5,185.8,9.933333333333334,4,1.2,0.4,1
